time,norm,actualtrue,predtrue,TP,FP,TN,FN,accuracy,precision,recall,F1,lambda
0.00853283333333333,0.0155813557562125,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1
0.0108362916666667,0.027026737721861,12,17,8,9,279,4,0.956666666666667,0.470588235294118,0.666666666666667,0.551724137931034,1
0.018105125,0.0259147874195072,12,13,8,5,283,4,0.97,0.615384615384615,0.666666666666667,0.64,1
0.00656745833333333,0.0510489586118416,12,16,6,10,278,6,0.946666666666667,0.375,0.5,0.428571428571429,1
0.01290975,0.0301705503870183,12,8,8,0,288,4,0.986666666666667,1,0.666666666666667,0.8,1
0.009882375,0.0320355369233587,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1
0.00944629166666667,0.119517257512138,12,17,6,11,277,6,0.943333333333333,0.352941176470588,0.5,0.413793103448276,1
0.0152192083333333,0.00181531977589769,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1
0.0117209583333333,4.68901152016137e-06,11,11,11,0,289,0,1,1,1,1,1
0.00663779166666667,0.0455310106026796,12,19,8,11,277,4,0.95,0.421052631578947,0.666666666666667,0.516129032258065,1
0.00781729166666667,0.000191515889876703,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,1
0.01244625,0.00961337281461746,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1
0.00822595833333333,0.0531887336175614,12,16,7,9,279,5,0.953333333333333,0.4375,0.583333333333333,0.5,1
0.00756129166666667,0.0603686030388529,12,12,8,4,284,4,0.973333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1
0.0115061666666667,0.00763070171411258,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1
0.01190375,0.00010418447085104,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1
0.00971695833333333,0.0373353189782883,12,13,7,6,282,5,0.963333333333333,0.538461538461538,0.583333333333333,0.56,1
0.00645366666666667,0.0346254619632212,12,20,7,13,275,5,0.94,0.35,0.583333333333333,0.4375,1
0.0147194166666667,0.0249560245224528,12,18,9,9,279,3,0.96,0.5,0.75,0.6,1
0.00473641666666667,0.00529354602670125,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,1
0.01777725,0.00447239084763914,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1
0.0108655,0.0150700664535262,12,8,8,0,288,4,0.986666666666667,1,0.666666666666667,0.8,1
0.007893625,0.0193869647754079,12,18,10,8,280,2,0.966666666666667,0.555555555555556,0.833333333333333,0.666666666666667,1
0.0127325,0.000226479328549206,11,10,10,0,289,1,0.996666666666667,1,0.909090909090909,0.952380952380952,1
0.00705170833333333,0.038484478821308,12,16,5,11,277,7,0.94,0.3125,0.416666666666667,0.357142857142857,1
0.00837841666666667,0.0210942680902801,12,18,8,10,278,4,0.953333333333333,0.444444444444444,0.666666666666667,0.533333333333333,1
0.00824475,0.0442877557927046,12,16,8,8,280,4,0.96,0.5,0.666666666666667,0.571428571428572,1
0.0156354583333333,0.00483819154198536,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,1
0.00599308333333333,0.0871794204402317,12,17,5,12,276,7,0.936666666666667,0.294117647058824,0.416666666666667,0.344827586206897,1
0.0117906666666667,0.00468710634996011,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1
0.0102781666666667,0.00109566475833609,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1
0.0134315416666667,6.01267583829939e-06,12,12,12,0,288,0,1,1,1,1,1
0.0081115,0.0448099406680438,12,12,8,4,284,4,0.973333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1
0.0143604166666667,0.00163413423394914,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,1
0.01559325,0.0114355496355584,11,10,9,1,288,2,0.99,0.9,0.818181818181818,0.857142857142857,1
0.00724608333333333,0.0202180985048228,12,20,7,13,275,5,0.94,0.35,0.583333333333333,0.4375,1
0.0057125,0.0472218672069896,12,14,7,7,281,5,0.96,0.5,0.583333333333333,0.538461538461538,1
0.0123502916666667,0.0382331061895249,12,12,9,3,285,3,0.98,0.75,0.75,0.75,1
0.01428925,7.32792343036872e-06,12,12,12,0,288,0,1,1,1,1,1
