time,norm,actualtrue,predtrue,TP,FP,TN,FN,accuracy,precision,recall,F1,lambda
0.0244280833333333,6.16236146038451e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.0119778333333333,0.00982882683039496,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,0.7
0.01959775,0.00245285099704903,11,10,10,0,289,1,0.996666666666667,1,0.909090909090909,0.952380952380952,0.7
0.0171044166666667,8.99107537935243e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.01358025,3.98267668557979e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.017006,5.24793586647091e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.014506,0.00150637036105255,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0176209166666667,0.00323619576588444,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,0.7
0.0103967083333333,0.000359979905429926,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.01664725,7.40428919040844e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.0122157916666667,0.000668765541190465,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0132277916666667,2.0079720242294e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.01228,0.00114908295875945,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.7
0.0167811666666667,0.0187007231603835,11,14,10,4,285,1,0.983333333333333,0.714285714285714,0.909090909090909,0.8,0.7
0.014259375,6.5041695521599e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.0162408333333333,0.00761038826888806,12,34,6,28,260,6,0.886666666666667,0.176470588235294,0.5,0.260869565217391,0.7
0.0158925416666667,8.88449633008922e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.0150557083333333,0.000230374894540409,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.014814875,0.00247227212422227,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.7
0.0152770416666667,5.58078751529496e-06,11,11,11,0,289,0,1,1,1,1,0.7
0.01524275,0.000485405722920728,11,10,10,0,289,1,0.996666666666667,1,0.909090909090909,0.952380952380952,0.7
0.0191194583333333,5.63230124947172e-06,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0176480416666667,0.000800337113821138,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0145665,3.38134976699178e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.0160097916666667,0.00114979110903143,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.7
0.0175086666666667,0.00314988455352226,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.7
0.0164667083333333,0.00217940288702747,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,0.7
0.013358,0.00113689303078183,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,0.7
0.016013625,0.000930377052268001,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0195862083333333,5.25989558449412e-06,12,12,12,0,288,0,1,1,1,1,0.7
0.0105002916666667,0.00233816759713248,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0176954166666667,0.00251779087831679,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0186207916666667,0.000218765269427698,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0157223333333333,2.65584330412581e-06,11,11,11,0,289,0,1,1,1,1,0.7
0.0169805416666667,0.00225999447428,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.7
0.0152405833333333,0.000549149291713831,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.7
0.0162739166666667,5.06737321419857e-06,11,11,11,0,289,0,1,1,1,1,0.7
0.0153105416666667,0.00300953017521764,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.7
0.019607125,0.00531514884220325,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,0.7
