time,norm,actualtrue,predtrue,TP,FP,TN,FN,accuracy,precision,recall,F1,lambda
0.00987141666666667,0.109206839097891,12,13,4,9,279,8,0.943333333333333,0.307692307692308,0.333333333333333,0.32,1.2
0.0203109166666667,0.00527478835750389,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,1.2
0.00530070833333333,0.0351418116961315,12,21,6,15,273,6,0.93,0.285714285714286,0.5,0.363636363636364,1.2
0.00764929166666667,0.0419875088118935,12,13,7,6,282,5,0.963333333333333,0.538461538461538,0.583333333333333,0.56,1.2
0.0129425833333333,0.0315910533109021,12,12,8,4,284,4,0.973333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1.2
0.00515054166666667,0.0570098138450368,12,8,7,1,287,5,0.98,0.875,0.583333333333333,0.7,1.2
0.016739125,0.00127504639838202,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1.2
0.0138820416666667,0.0269011386188975,11,10,8,2,287,3,0.983333333333333,0.8,0.727272727272727,0.761904761904762,1.2
0.00732895833333333,0.0838037577647938,12,18,4,14,274,8,0.926666666666667,0.222222222222222,0.333333333333333,0.266666666666667,1.2
0.0115894583333333,0.0487424715789905,12,8,8,0,288,4,0.986666666666667,1,0.666666666666667,0.8,1.2
0.0176440833333333,0.0868686748735777,12,17,3,14,274,9,0.923333333333333,0.176470588235294,0.25,0.206896551724138,1.2
0.011382375,0.0807844766018068,12,19,6,13,275,6,0.936666666666667,0.315789473684211,0.5,0.387096774193548,1.2
0.0219887916666667,0.000610576102569776,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,1.2
0.00811004166666667,0.0404639302902342,12,19,9,10,278,3,0.956666666666667,0.473684210526316,0.75,0.580645161290323,1.2
0.0254150416666667,0.00856972888033869,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1.2
0.011181625,0.0212649159822534,11,20,8,12,277,3,0.95,0.4,0.727272727272727,0.516129032258065,1.2
0.00600929166666667,0.0577880610256727,12,15,6,9,279,6,0.95,0.4,0.5,0.444444444444444,1.2
0.00355970833333333,0.0698814628623883,12,13,8,5,283,4,0.97,0.615384615384615,0.666666666666667,0.64,1.2
0.0134510833333333,0.000166984221499938,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,1.2
0.00922429166666667,0.0645329647071018,12,21,4,17,271,8,0.916666666666667,0.19047619047619,0.333333333333333,0.242424242424242,1.2
0.0112025,0.00217428618222492,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,1.2
0.0126014583333333,0.00846480292864408,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1.2
0.00661016666666667,0.0872200404945949,12,11,7,4,284,5,0.97,0.636363636363636,0.583333333333333,0.608695652173913,1.2
0.00520545833333333,0.0461177638855876,12,12,5,7,281,7,0.953333333333333,0.416666666666667,0.416666666666667,0.416666666666667,1.2
0.00942491666666667,0.00712003207489799,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1.2
0.0078385,0.0136196266367144,12,10,9,1,287,3,0.986666666666667,0.9,0.75,0.818181818181818,1.2
