SNR,SNR_mean,RSNR,time,lambda
50,50,40.4479094403812,0.00984,2
50,50,60.988350298668,0.0238725416666667,2
50,50,59.1227961371684,0.0236397083333333,2
50,50,60.0130997812766,0.0227686666666667,2
50,50,67.3032354597326,0.0245262083333333,2
50,50,66.0850637081524,0.02431975,2
50,50,51.5390125144829,0.0195850833333333,2
50,50,43.5329455564819,0.0159897916666667,2
50,50,41.8404382225511,0.0172572083333333,2
50,50,59.411054261936,0.021929625,2
50,50,58.3894115896603,0.0213529583333333,2
50,50,60.3607640357019,0.020520375,2
50,50,66.1298274836773,0.0269364583333333,2
50,50,47.6313547246397,0.026505375,2
50,50,61.9315850582794,0.0282659166666667,2
50,50,57.1738283720898,0.028852625,2
50,50,62.5652845569107,0.0212392083333333,2
50,50,61.3775618816967,0.0216154166666667,2
50,50,58.9292303600297,0.0252180833333333,2
50,50,58.1922481495758,0.02215025,2
50,50,59.9624077645656,0.0201934166666667,2
50,50,61.8934370965119,0.022797375,2
50,50,62.0196033251301,0.0261836666666667,2
50,50,59.1575162932445,0.0215947083333333,2
50,50,63.2206388695057,0.02317575,2
50,50,56.8753692562561,0.0215952083333333,2
50,50,58.5908587184896,0.0233898333333333,2
50,50,62.8199434656501,0.021139125,2
50,50,59.2532325002132,0.0210619166666667,2
50,50,64.5041341671039,0.0279250416666667,2
50,50,58.1997987309908,0.0245827083333333,2
50,50,59.5253346699714,0.0269016666666667,2
50,50,59.8563472888996,0.0203670833333333,2
50,50,31.9573498736654,0.0180891666666667,2
50,50,60.5974278818832,0.0223220416666667,2
50,50,66.3599138231681,0.02393275,2
50,50,64.0811185627607,0.0232977916666667,2
50,50,58.8292342161604,0.023504875,2
50,50,53.1273670815291,0.0196495,2
50,50,36.4150139655339,0.0217003333333333,2
50,50,59.1120404477259,0.0210945416666667,2
50,50,41.0821489116604,0.0203166666666667,2
50,50,59.9876478750204,0.0209911666666667,2
50,50,60.1626360126705,0.0227332083333333,2
50,50,62.4215311386412,0.0207737916666667,2
50,50,60.4533618530046,0.023333875,2
50,50,61.9781238979817,0.0232637083333333,2
50,50,60.4472235838859,0.025721875,2
50,50,59.7886528748278,0.021801875,2
50,50,60.6284221179308,0.0195715833333333,2
50,50,58.5122018620114,0.0209312083333333,2
50,50,62.7834120722698,0.0208335833333333,2
50,50,61.0280215436863,0.0238227916666667,2
50,50,59.8577432435286,0.0203435416666667,2
50,50,62.9598434099141,0.0241464583333333,2
50,50,61.164815650411,0.0239416666666667,2
50,50,59.508612511647,0.023364125,2
50,50,57.9725947341944,0.0183475416666667,2
50,50,61.7239856379796,0.0206403333333333,2
50,50,60.3746629540149,0.0253560416666667,2
50,50,61.2580585199707,0.0223415833333333,2
50,50,66.6372517167426,0.0229641666666667,2
50,50,58.9873360962886,0.0255122083333333,2
50,50,62.1339358580233,0.0230867916666667,2
50,50,63.3899715462815,0.0259526666666667,2
50,50,65.1553664376519,0.020783125,2
50,50,61.274829196065,0.02311275,2
50,50,63.5883237466934,0.0236107916666667,2
50,50,57.2765081160469,0.021230375,2
50,50,59.7724143774405,0.0211842916666667,2
50,50,57.4387650340714,0.0199202916666667,2
50,50,63.064401525786,0.0248782916666667,2
50,50,62.9682986765895,0.0227949583333333,2
50,50,41.4998489594292,0.0177478333333333,2
50,50,62.3728040316465,0.0215430416666667,2
50,50,36.6117173565229,0.023045125,2
50,50,61.9218790299262,0.023224,2
50,50,59.4825834379221,0.0204760416666667,2
50,50,37.4053519062687,0.0194585833333333,2
50,50,63.4835361653231,0.0192599166666667,2
50,50,62.144208454363,0.0208306666666667,2
50,50,57.6593557601897,0.0202372916666667,2
50,50,37.1861170816455,0.0214874583333333,2
50,50,59.6823304459688,0.0224622083333333,2
50,50,39.5446855078888,0.0155561666666667,2
50,50,35.4041523806667,0.0252514583333333,2
50,50,63.4099286594727,0.023639625,2
50,50,59.8495270636769,0.024072125,2
50,50,61.952670530843,0.0193997916666667,2
50,50,60.058753351975,0.0193690416666667,2
50,50,60.8100023382054,0.0226245833333333,2
50,50,39.4085051589253,0.0135111666666667,2
50,50,36.7630235958986,0.0175404166666667,2
50,50,60.7476106609182,0.0233165416666667,2
50,50,59.1716965952329,0.023075125,2
50,50,64.8777483436761,0.0212511666666667,2
50,50,65.5644002713328,0.021475,2
50,50,64.4231136291467,0.02152325,2
50,50,66.0416014476594,0.020444875,2
50,50,62.9967407685207,0.019844375,2
50,50,57.7557808525823,0.0220015795833333,2
