SNR,SNR_mean,RSNR,time,lambda
15,15,26.5724040791744,0.0713620833333333,2
15,15,27.6114421990896,0.072234375,2
15,15,23.1138909911905,0.0533132916666667,2
15,15,26.3824798061718,0.0607506666666667,2
15,15,24.8273926696309,0.0663387916666667,2
15,15,21.3828665649045,0.0600022083333333,2
15,15,33.5750377016991,0.0530490833333333,2
15,15,26.4644726995771,0.0712341666666667,2
15,15,23.0571777254291,0.042973625,2
15,15,24.4506557077801,0.0570255833333333,2
15,15,32.5400420373823,0.039473875,2
15,15,26.720426509691,0.0852636666666667,2
15,15,24.0873949212833,0.0468305,2
15,15,23.1764305987246,0.0388717083333333,2
15,15,23.0241512036233,0.0797473333333333,2
15,15,26.2072601161048,0.0588946666666667,2
15,15,27.7733818069926,0.060047875,2
15,15,25.3409296456117,0.0518134583333333,2
15,15,27.4625906974945,0.0969214166666667,2
15,15,24.0414698784807,0.0404292916666667,2
15,15,27.7479569262734,0.0604085416666667,2
15,15,25.3461493997282,0.0599688333333333,2
15,15,24.2914200744959,0.07444325,2
15,15,22.8148202977794,0.0966061666666667,2
15,15,22.9706233098168,0.0562417083333333,2
15,15,27.7172656918799,0.0929527916666667,2
15,15,22.3703947486702,0.081433,2
15,15,22.6254884231536,0.105365791666667,2
15,15,22.2982146711445,0.0650599166666667,2
15,15,26.5976528433804,0.0660691666666667,2
15,15,24.7536128336802,0.082116875,2
15,15,25.2937313747024,0.0498360416666667,2
15,15,27.8673556894327,0.0577160833333333,2
15,15,24.1373587972798,0.0576925,2
15,15,28.3851254596712,0.0585491666666667,2
15,15,26.9716179151365,0.040968875,2
15,15,28.738225731864,0.107246208333333,2
15,15,26.2844269575226,0.067329625,2
15,15,22.8848001341203,0.072086125,2
15,15,31.7637529406966,0.0444169583333333,2
15,15,25.5934049289858,0.0665606666666667,2
15,15,26.8787898120521,0.048327625,2
15,15,26.6320808430425,0.0713677916666667,2
15,15,23.7026061821867,0.0650809166666667,2
15,15,24.9610588116953,0.0329232916666667,2
15,15,26.5484297776663,0.0985646666666667,2
15,15,28.4913970413412,0.0623381666666667,2
15,15,22.3224622862723,0.0572161666666667,2
15,15,25.8527500706277,0.0703663333333333,2
15,15,32.0672991696494,0.051472875,2
15,15,26.7002453730369,0.050396375,2
15,15,32.9782490765638,0.031103125,2
15,15,24.9768185500763,0.074437625,2
15,15,27.8092042001813,0.0688531666666667,2
15,15,23.4745425315024,0.083075625,2
15,15,24.3642195966706,0.0809844583333333,2
15,15,28.7043043891558,0.059653125,2
15,15,26.9500094528657,0.04908,2
15,15,29.2291997952474,0.059183625,2
15,15,30.986680695308,0.0557998333333333,2
15,15,27.9396142561419,0.059053125,2
15,15,26.3597718208687,0.078294125,2
15,15,23.4148635224963,0.0339545833333333,2
15,15,22.3550257116116,0.059831375,2
15,15,23.9155632922214,0.0653648333333333,2
15,15,26.746734403771,0.0664269583333333,2
15,15,23.151333138898,0.057332125,2
15,15,26.1827108759486,0.0550787083333333,2
15,15,25.5278352883764,0.0514247916666667,2
15,15,25.9935307496988,0.0607140416666667,2
15,15,26.0001127883595,0.05722475,2
15,15,26.2465551863191,0.0532675416666667,2
15,15,30.667857770745,0.0491025833333333,2
15,15,24.4384406772148,0.0568839583333333,2
15,15,24.0365177138578,0.0716687083333333,2
15,15,24.5064696609114,0.0471347083333333,2
15,15,36.2212522063241,0.0678245,2
15,15,27.8559014384112,0.0328787083333333,2
15,15,25.100284022487,0.0752235,2
15,15,35.6829408796762,0.0565635416666667,2
15,15,28.9359197458532,0.0608226666666667,2
15,15,22.3197039411546,0.044061125,2
15,15,24.0004621472217,0.038921625,2
15,15,28.2549482004568,0.0805348333333333,2
15,15,26.1185634432381,0.0583994166666667,2
15,15,23.5235492013557,0.0503107083333333,2
15,15,23.8448676966158,0.0360704583333333,2
15,15,28.8597774152918,0.0439897916666667,2
15,15,24.6223448472788,0.0751526666666667,2
15,15,25.3430251762978,0.0509902083333333,2
15,15,24.5784117597118,0.0396910416666667,2
15,15,22.7441787804743,0.050275875,2
15,15,23.9530375291644,0.079174125,2
15,15,22.8995728630321,0.051974375,2
15,15,24.4492650044143,0.089815,2
15,15,22.2705189331507,0.0668162916666667,2
15,15,26.9156403534297,0.0424977916666667,2
15,15,25.3307246817311,0.0514027083333333,2
15,15,28.3257049381062,0.03524275,2
15,15,26.6982809082332,0.0644501666666667,2
15,15,26.0522745733514,0.0610571154166667,2
