time,norm,actualtrue,predtrue,TP,FP,TN,FN,accuracy,precision,recall,F1,lambda
0.462714416666667,0.00327443421979082,36,54,33,21,843,3,0.973333333333333,0.611111111111111,0.916666666666667,0.733333333333333,0.4
0.31160225,0.000217471850530962,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.484068375,0.00177082018900323,35,33,33,0,865,2,0.997777777777778,1,0.942857142857143,0.970588235294118,0.4
0.181584791666667,0.00641936800892841,35,57,29,28,837,6,0.962222222222222,0.508771929824561,0.828571428571429,0.630434782608696,0.4
0.299222916666667,0.00440411252770961,35,62,28,34,831,7,0.954444444444444,0.451612903225806,0.8,0.577319587628866,0.4
0.267492166666667,5.34384126138487e-05,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.335701541666667,0.00281236595409001,35,30,30,0,865,5,0.994444444444444,1,0.857142857142857,0.923076923076923,0.4
0.232980791666667,0.000174602507480529,35,32,32,0,865,3,0.996666666666667,1,0.914285714285714,0.955223880597015,0.4
0.374578375,0.000255592503425304,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.4
0.319755375,0.000115034372959671,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.4
0.185166958333333,0.000103418044180263,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.129500458333333,0.000301793247142149,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.301487208333333,0.0029217838213045,36,74,33,41,823,3,0.951111111111111,0.445945945945946,0.916666666666667,0.6,0.4
0.350780916666667,0.000584857948349112,35,33,33,0,865,2,0.997777777777778,1,0.942857142857143,0.970588235294118,0.4
0.306822916666667,1.07831174473802e-05,35,35,35,0,865,0,1,1,1,1,0.4
0.362618416666667,0.00191451131609403,36,32,32,0,864,4,0.995555555555556,1,0.888888888888889,0.941176470588235,0.4
0.258926458333333,0.00011852522411805,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.328926583333333,0.000132818508563647,35,33,33,0,865,2,0.997777777777778,1,0.942857142857143,0.970588235294118,0.4
0.2295645,0.000152422644982925,34,33,33,0,866,1,0.998888888888889,1,0.970588235294118,0.985074626865672,0.4
0.392230416666667,2.39533175841227e-05,36,36,36,0,864,0,1,1,1,1,0.4
0.287866416666667,0.00013337156875367,34,33,33,0,866,1,0.998888888888889,1,0.970588235294118,0.985074626865672,0.4
0.3186945,7.48848089255868e-05,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.4
0.370846541666667,0.000566444105117602,35,31,31,0,865,4,0.995555555555556,1,0.885714285714286,0.939393939393939,0.4
0.321874291666667,0.000213063682216763,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.313117583333333,2.95859799022442e-05,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.4
0.14716725,0.000457828080617096,36,32,32,0,864,4,0.995555555555556,1,0.888888888888889,0.941176470588235,0.4
0.322377541666667,0.000419897752628694,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.274494708333333,0.000409330994924704,35,33,33,0,865,2,0.997777777777778,1,0.942857142857143,0.970588235294118,0.4
0.273407166666667,0.000117461536467426,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.31685575,0.000224674673420503,35,33,33,0,865,2,0.997777777777778,1,0.942857142857143,0.970588235294118,0.4
0.315298875,0.000242031461144043,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.4
0.320347291666667,0.000716330251166697,35,33,33,0,865,2,0.997777777777778,1,0.942857142857143,0.970588235294118,0.4
0.232139541666667,2.6732299896604e-05,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.17195425,0.000347284486229462,36,33,33,0,864,3,0.996666666666667,1,0.916666666666667,0.956521739130435,0.4
0.306546541666667,0.00186920582216813,35,31,31,0,865,4,0.995555555555556,1,0.885714285714286,0.939393939393939,0.4
0.342604833333333,0.00037348377165484,35,34,34,0,865,1,0.998888888888889,1,0.971428571428571,0.985507246376812,0.4
0.397583291666667,0.000208852709496711,35,34,34,0,865,1,0.998888888888889,1,0.971428571428571,0.985507246376812,0.4
0.297779916666667,0.00030149937551079,35,32,32,0,865,3,0.996666666666667,1,0.914285714285714,0.955223880597015,0.4
0.310288625,0.000690380760639336,35,32,32,0,865,3,0.996666666666667,1,0.914285714285714,0.955223880597015,0.4
0.278629416666667,0.000248859644703364,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.4
0.179451375,0.00102055365745207,35,32,32,0,865,3,0.996666666666667,1,0.914285714285714,0.955223880597015,0.4
0.44641075,0.000413950367150979,34,33,33,0,866,1,0.998888888888889,1,0.970588235294118,0.985074626865672,0.4
0.390274541666667,8.53472629467393e-05,35,34,34,0,865,1,0.998888888888889,1,0.971428571428571,0.985507246376812,0.4
0.332896875,0.000301166386996597,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.4
0.411032458333333,0.00435502056012731,35,42,29,13,852,6,0.978888888888889,0.69047619047619,0.828571428571429,0.753246753246753,0.4
0.3502935,0.000643004620914344,36,33,33,0,864,3,0.996666666666667,1,0.916666666666667,0.956521739130435,0.4
0.129260125,2.0578021381392e-05,35,34,34,0,865,1,0.998888888888889,1,0.971428571428571,0.985507246376812,0.4
