time,norm,actualtrue,predtrue,TP,FP,TN,FN,accuracy,precision,recall,F1,lambda
0.320176208333333,3.44776971273988e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.285560083333333,4.04713297814761e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.179368916666667,1.50317465636101e-05,36,36,36,0,864,0,1,1,1,1,0.05
0.152071333333333,1.49800549562243e-05,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.05
0.245823208333333,1.09923680989847e-05,36,36,36,0,864,0,1,1,1,1,0.05
0.202180875,4.83822709960385e-06,35,34,34,0,865,1,0.998888888888889,1,0.971428571428571,0.985507246376812,0.05
0.277392083333333,8.04212487261991e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.223015375,5.95627034875074e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.249487,5.04656594958027e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.260072708333333,8.11599160856677e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.261216041666667,8.95948074236712e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.223985291666667,4.08443289987203e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.126632541666667,1.32412117815304e-05,36,37,36,1,863,0,0.998888888888889,0.972972972972973,1,0.986301369863014,0.05
0.161459291666667,7.64876509803713e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.208160041666667,9.16333003786979e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.315204708333333,7.21865235322409e-06,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.05
0.2932555,7.06032641341631e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.362634166666667,4.13119006701142e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.254892583333333,7.05827754442436e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.265817958333333,6.67633502292448e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.213939625,4.20778666759022e-06,35,34,34,0,865,1,0.998888888888889,1,0.971428571428571,0.985507246376812,0.05
0.177778166666667,9.94266822761352e-05,35,50,34,16,849,1,0.981111111111111,0.68,0.971428571428571,0.8,0.05
0.243952208333333,7.10570002406417e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.214900958333333,5.99546542647595e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.159523083333333,2.5287432192127e-05,35,36,34,2,863,1,0.996666666666667,0.944444444444444,0.971428571428571,0.957746478873239,0.05
0.291500875,4.45729853330214e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.294343333333333,6.91961207951288e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.287026083333333,5.2100085013141e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.239925541666667,1.15328845728214e-05,36,36,36,0,864,0,1,1,1,1,0.05
0.233284291666667,2.11231858547985e-05,36,34,34,0,864,2,0.997777777777778,1,0.944444444444444,0.971428571428571,0.05
0.200901583333333,5.35529593382793e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.240906208333333,4.58599365108103e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.207961166666667,6.0814800339682e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.157135208333333,0.000114843770110879,36,40,32,8,856,4,0.986666666666667,0.8,0.888888888888889,0.842105263157895,0.05
0.269479041666667,1.15061880356361e-05,35,35,35,0,865,0,1,1,1,1,0.05
0.24350375,3.80211088050704e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.16553375,1.3212189161921e-05,36,37,36,1,863,0,0.998888888888889,0.972972972972973,1,0.986301369863014,0.05
0.212059083333333,4.85516861890149e-06,33,33,33,0,867,0,1,1,1,1,0.05
0.2269975,7.16904136726168e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.250313458333333,8.57128979371404e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.126822541666667,4.95543698739253e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.28396075,6.6185166103945e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.240057625,5.47835432837958e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.286546583333333,3.64305563999582e-06,34,32,32,0,866,2,0.997777777777778,1,0.941176470588235,0.96969696969697,0.05
0.202200041666667,5.48617538953118e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.239738291666667,4.28902115786375e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.262226958333333,5.22775883726166e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.226177458333333,1.02115171269836e-05,35,33,33,0,865,2,0.997777777777778,1,0.942857142857143,0.970588235294118,0.05
0.221195833333333,3.95127038076279e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.0983478333333333,3.25130723886468e-05,35,35,34,1,864,1,0.997777777777778,0.971428571428571,0.971428571428571,0.971428571428571,0.05
0.165935,5.46977130405582e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.240766916666667,3.82401029712428e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.245579833333333,4.29561335019369e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.247946458333333,5.6916679556586e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.258719458333333,2.62550498855102e-06,34,33,33,0,866,1,0.998888888888889,1,0.970588235294118,0.985074626865672,0.05
0.154429541666667,1.43740666513948e-05,35,35,34,1,864,1,0.997777777777778,0.971428571428571,0.971428571428571,0.971428571428571,0.05
0.254523458333333,9.5045853088122e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.254331125,4.44577856011706e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.192583875,5.76005523016733e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.162569166666667,8.9202043581134e-06,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.05
0.122103083333333,6.29306223747774e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.22899175,2.50206888150053e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.227290833333333,7.01075778931965e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.24635475,5.68277071702697e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.240670166666667,3.33948163765371e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.226585166666667,9.45863843232101e-06,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.05
0.244652458333333,5.53231708752614e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.212679041666667,7.15692131593182e-06,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.05
0.221630166666667,5.69407965680504e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.181889041666667,4.77506800046616e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.121817416666667,5.08011143991934e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.21305025,1.81476188571773e-05,35,34,34,0,865,1,0.998888888888889,1,0.971428571428571,0.985507246376812,0.05
0.223363791666667,4.56693519074721e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.254883583333333,7.23770847266256e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.231382791666667,1.00626262332138e-05,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.05
0.255581958333333,6.54630210276901e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.285966041666667,5.59557052490258e-06,34,34,34,0,866,0,1,1,1,1,0.05
0.261961875,4.49161776310835e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.204157458333333,6.3390847520072e-06,36,35,35,0,864,1,0.998888888888889,1,0.972222222222222,0.985915492957746,0.05
0.161374208333333,5.26387195517272e-06,33,33,33,0,867,0,1,1,1,1,0.05
0.187146125,6.44924340849174e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.282758708333333,9.08393569974747e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.2447295,3.42963484828639e-06,35,35,35,0,865,0,1,1,1,1,0.05
0.226366708333333,3.21080558487077e-06,36,36,36,0,864,0,1,1,1,1,0.05
0.248888208333333,5.53906585111097e-06,36,36,36,0,864,0,1,1,1,1,0.05
