time,norm,actualtrue,predtrue,TP,FP,TN,FN,accuracy,precision,recall,F1,lambda
0.0825028333333333,0.00743671790419631,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.0183932083333333,2.508321758587e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.0220594166666667,0.0010065678093904,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0192907916666667,0.00694129566575369,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0224284166666667,1.00940000442096e-05,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0268937083333333,0.01083098391548,11,10,10,0,289,1,0.996666666666667,1,0.909090909090909,0.952380952380952,0.9
0.01965,0.0331900053815716,12,21,8,13,275,4,0.943333333333333,0.380952380952381,0.666666666666667,0.484848484848485,0.9
0.017696875,0.00693698038133765,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0131821666666667,3.89310612071312e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.00949045833333333,0.0804702331231636,12,16,8,8,280,4,0.96,0.5,0.666666666666667,0.571428571428572,0.9
0.0135941666666667,0.0215054799237289,12,19,8,11,277,4,0.95,0.421052631578947,0.666666666666667,0.516129032258065,0.9
0.0117052083333333,4.64648515139064e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.0148799583333333,0.0248696100320093,12,10,8,2,286,4,0.98,0.8,0.666666666666667,0.727272727272727,0.9
0.00830025,0.0153024053593907,11,13,8,5,284,3,0.973333333333333,0.615384615384615,0.727272727272727,0.666666666666667,0.9
0.0157548333333333,0.00347804183986133,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0154189166666667,0.00612555775346938,10,8,8,0,290,2,0.993333333333333,1,0.8,0.888888888888889,0.9
0.0171559583333333,0.0012986558945808,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.0171284166666667,0.000951207633938418,11,10,10,0,289,1,0.996666666666667,1,0.909090909090909,0.952380952380952,0.9
0.0298094166666667,0.00201217189851814,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,0.9
0.01406625,0.00161964344227522,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0134309583333333,0.00328298901020241,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.01979175,0.000536801830568822,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.013074625,0.000888575611610249,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,0.9
0.0122071666666667,0.0361072229485919,12,14,9,5,283,3,0.973333333333333,0.642857142857143,0.75,0.692307692307692,0.9
0.051950375,0.0341001628827473,12,34,7,27,261,5,0.893333333333333,0.205882352941176,0.583333333333333,0.304347826086956,0.9
0.03179725,0.0121032373813049,12,17,10,7,281,2,0.97,0.588235294117647,0.833333333333333,0.689655172413793,0.9
0.015586375,0.000518473325262149,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.00960729166666667,0.00566822921956051,12,8,8,0,288,4,0.986666666666667,1,0.666666666666667,0.8,0.9
0.01777,0.00145692435656597,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0122637083333333,4.30886318358133e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.0201453333333333,0.00230172145059027,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0122792083333333,0.00199322279254951,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0235573333333333,0.0665360105805436,11,20,6,14,275,5,0.936666666666667,0.3,0.545454545454545,0.387096774193548,0.9
0.0103677916666667,4.25270014926377e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.022119,6.53152078418479e-06,11,11,11,0,289,0,1,1,1,1,0.9
0.0224511666666667,0.000353621568116258,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.027853,0.0100596013218449,12,21,9,12,276,3,0.95,0.428571428571429,0.75,0.545454545454545,0.9
0.0139492916666667,0.00258652096780171,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0227735833333333,0.0120436777504932,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.017780625,5.52723642381461e-06,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.011450625,0.0286799163906445,12,14,9,5,283,3,0.973333333333333,0.642857142857143,0.75,0.692307692307692,0.9
0.0256605,0.00170958793399652,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.0241992916666667,0.0201471476448254,12,11,10,1,287,2,0.99,0.909090909090909,0.833333333333333,0.869565217391304,0.9
0.0127045,0.000829614387410498,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0194178333333333,0.0328992215939618,11,17,7,10,279,4,0.953333333333333,0.411764705882353,0.636363636363636,0.5,0.9
0.016723375,0.000214357676101098,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.0162451666666667,4.30024379435408e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.015394875,0.0227582395911856,12,16,8,8,280,4,0.96,0.5,0.666666666666667,0.571428571428572,0.9
0.011093625,0.00136717105966226,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0204759166666667,3.14964430903712e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.0283548333333333,0.00066518655657237,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.0144839166666667,1.29881993826911e-05,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.0241260416666667,7.276811208382e-06,12,12,12,0,288,0,1,1,1,1,0.9
0.020238875,0.00491193963801009,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,0.9
0.0132860833333333,0.00151490426775194,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0139097083333333,0.000383996445624853,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.0178661666666667,0.00763697740696632,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,0.9
0.0158229166666667,0.000397413853338289,11,10,10,0,289,1,0.996666666666667,1,0.909090909090909,0.952380952380952,0.9
0.015370875,0.00223388958561992,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
0.0121231666666667,0.000345407482713781,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,0.9
0.00916325,0.000831248518569806,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,0.9
